t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt,trial
1000,1.0,1.0,False,,1.0,4,249,-1,-1,986,972,1000,1.4000000000000001,5000,0,3,0
1000,1.0,1.0,False,,1.0,4,249,-1,-1,1002,979,1000,0.2,5000,0,0,1
1000,1.0,1.0,False,,1.0,4,249,-1,-1,1006,982,1000,0.6,5000,0,0,2
1000,1.0,1.0,False,,1.0,4,249,-1,-1,1014,978,1000,1.4000000000000001,5000,0,0,3
1000,1.0,1.0,False,,1.0,4,249,-1,-1,991,971,1000,0.8999999999999999,5000,0,0,4
1000,1.0,5.0,True,,1.0,0,249,-1,-1,984,974,1000,1.6,5000,0,0,0
1000,1.0,5.0,True,,1.0,0,249,-1,-1,1022,974,1000,2.1999999999999997,5000,0,2,1
1000,1.0,5.0,True,,1.0,0,249,-1,-1,999,982,1000,0.1,5000,0,0,2
1000,1.0,5.0,True,,1.0,0,249,-1,-1,987,973,1000,1.3,5000,0,0,3
1000,1.0,5.0,True,,1.0,0,249,-1,-1,1000,968,1000,0.0,5000,0,0,4
1000,1.0,10.0,True,,1.0,0,249,-1,-1,990,976,1000,1.0,5000,0,0,0
1000,1.0,10.0,True,,1.0,0,249,-1,-1,997,977,1000,0.3,5000,0,2,1
1000,1.0,10.0,True,,1.0,0,249,-1,-1,990,971,1000,1.0,5000,0,4,2
1000,1.0,10.0,True,,1.0,0,249,-1,-1,996,969,1000,0.4,5000,0,0,3
1000,1.0,10.0,True,,1.0,0,249,-1,-1,1002,971,1000,0.2,5000,0,2,4
1000,2.0,1.0,False,,1.0,5,249,-1,-1,993,976,1000,0.7000000000000001,5000,0,0,0
1000,2.0,1.0,False,,1.0,7,249,-1,-1,990,990,1000,1.0,5000,0,0,1
1000,2.0,1.0,False,,1.0,5,249,-1,-1,1021,1021,1000,2.1,5000,0,0,2
1000,2.0,1.0,False,,1.0,4,249,-1,-1,981,975,1000,1.9,5000,0,0,3
1000,2.0,1.0,False,,1.0,4,249,-1,-1,1015,979,1000,1.5,5000,0,1,4
1000,2.0,5.0,True,,1.0,3,249,-1,-1,972,963,1000,2.8000000000000003,5000,0,2,0
1000,2.0,5.0,True,,1.0,0,249,-1,-1,990,962,1000,1.0,5000,0,1,1
1000,2.0,5.0,True,,1.0,0,249,-1,-1,1001,967,1000,0.1,5000,0,0,2
1000,2.0,5.0,True,,1.0,0,249,-1,-1,963,954,1000,3.6999999999999997,5000,0,3,3
1000,2.0,5.0,True,,1.0,0,249,-1,-1,1022,983,1000,2.1999999999999997,5000,0,0,4
1000,2.0,10.0,True,,1.0,2,249,-1,-1,1030,961,1000,3.0,5000,0,3,0
1000,2.0,10.0,True,,1.0,1,249,-1,-1,983,983,1000,1.7000000000000002,5000,0,0,1
1000,2.0,10.0,True,,1.0,0,249,-1,-1,1006,957,1000,0.6,5000,0,4,2
1000,2.0,10.0,True,,1.0,0,249,-1,-1,1039,969,1000,3.9,5000,0,3,3
1000,2.0,10.0,True,,1.0,0,249,-1,-1,1005,973,1000,0.5,5000,0,2,4
1000,5.0,1.0,False,,1.0,4,249,-1,-1,1066,972,1000,6.6000000000000005,5000,0,1,0
1000,5.0,1.0,False,,1.0,6,249,-1,-1,984,944,1000,1.6,5000,0,4,1
1000,5.0,1.0,False,,1.0,5,249,-1,-1,977,977,1000,2.3,5000,0,0,2
1000,5.0,1.0,False,,1.0,4,249,-1,-1,1061,961,1000,6.1,5000,1,2,3
1000,5.0,1.0,False,,1.0,4,249,-1,-1,1021,933,1000,2.1,5000,0,3,4
1000,5.0,5.0,True,,1.0,4,249,-1,-1,965,913,1000,3.5000000000000004,5000,0,2,0
1000,5.0,5.0,True,,1.0,1,249,-1,-1,992,988,1000,0.8,5000,0,1,1
1000,5.0,5.0,True,,1.0,0,249,-1,-1,1135,902,1000,13.5,5000,2,2,2
1000,5.0,5.0,True,,1.0,0,249,-1,-1,951,922,1000,4.9,5000,0,1,3
1000,5.0,5.0,True,,1.0,0,249,-1,-1,933,933,1000,6.7,5000,0,0,4
1000,5.0,10.0,True,,1.0,3,249,-1,-1,1028,920,1000,2.8000000000000003,5000,1,1,0
1000,5.0,10.0,True,,1.0,7,249,-1,-1,1090,928,1000,9.0,5000,2,2,1
1000,5.0,10.0,True,,1.0,3,249,-1,-1,975,905,1000,2.5,5000,0,3,2
1000,5.0,10.0,True,,1.0,2,249,-1,-1,1025,975,1000,2.5,5000,0,1,3
1000,5.0,10.0,True,,1.0,0,249,-1,-1,963,931,1000,3.6999999999999997,5000,0,3,4
1000,10.0,1.0,False,,1.0,21,249,-1,-1,853,849,1000,14.7,5000,0,0,0
1000,10.0,1.0,False,,1.0,9,249,-1,-1,823,734,1000,17.7,5000,1,1,1
1000,10.0,1.0,False,,1.0,6,249,-1,-1,1016,1016,1000,1.6,5000,0,0,2
1000,10.0,1.0,False,,1.0,10,249,-1,-1,969,969,1000,3.1,5000,0,0,3
1000,10.0,1.0,False,,1.0,14,249,-1,-1,1109,1022,1000,10.9,5000,0,1,4
1000,10.0,5.0,True,,1.0,34,249,-1,-1,817,773,1000,18.3,5000,0,1,0
1000,10.0,5.0,True,,1.0,9,249,-1,-1,1029,861,1000,2.9000000000000004,5000,3,3,1
1000,10.0,5.0,True,,1.0,10,249,-1,-1,1104,1010,1000,10.4,5000,0,3,2
1000,10.0,5.0,True,,1.0,1,249,-1,-1,953,787,1000,4.7,5000,2,2,3
1000,10.0,5.0,True,,1.0,2,249,-1,-1,959,855,1000,4.1000000000000005,5000,1,1,4
1000,10.0,10.0,True,,1.0,0,249,-1,-1,1004,895,1000,0.4,5000,1,1,0
1000,10.0,10.0,True,,1.0,8,249,-1,-1,968,968,1000,3.2,5000,0,0,1
1000,10.0,10.0,True,,1.0,12,249,-1,-1,1133,877,1000,13.3,5000,3,3,2
1000,10.0,10.0,True,,1.0,4,249,-1,-1,839,839,1000,16.1,5000,0,0,3
1000,10.0,10.0,True,,1.0,0,249,-1,-1,1099,980,1000,9.9,5000,1,1,4
1000,20.0,1.0,False,,1.0,24,249,-1,-1,1134,1011,1000,13.4,5000,1,1,0
1000,20.0,1.0,False,,1.0,27,249,-1,-1,917,917,1000,8.3,5000,0,0,1
1000,20.0,1.0,False,,1.0,16,249,-1,-1,718,718,1000,28.199999999999996,5000,0,0,2
1000,20.0,1.0,False,,1.0,4,249,-1,-1,950,824,1000,5.0,5000,1,1,3
1000,20.0,1.0,False,,1.0,8,249,-1,-1,614,435,1000,38.6,5000,3,3,4
1000,20.0,5.0,True,,1.0,12,249,-1,-1,1195,906,1000,19.5,5000,3,3,0
1000,20.0,5.0,True,,1.0,25,249,-1,-1,1025,944,1000,2.5,5000,0,1,1
1000,20.0,5.0,True,,1.0,0,249,-1,-1,1219,1219,1000,21.9,5000,0,0,2
1000,20.0,5.0,True,,1.0,7,249,-1,-1,793,707,1000,20.7,5000,1,1,3
1000,20.0,5.0,True,,1.0,41,249,-1,-1,894,783,1000,10.6,5000,3,3,4
1000,20.0,10.0,True,,1.0,1,249,-1,-1,915,694,1000,8.5,5000,3,3,0
1000,20.0,10.0,True,,1.0,1,249,-1,-1,1020,909,1000,2.0,5000,1,1,1
1000,20.0,10.0,True,,1.0,22,249,-1,-1,935,806,1000,6.5,5000,1,4,2
1000,20.0,10.0,True,,1.0,9,249,-1,-1,899,899,1000,10.100000000000001,5000,0,0,3
1000,20.0,10.0,True,,1.0,4,249,-1,-1,1125,911,1000,12.5,5000,3,3,4
