t_prop_us,noise_pct,init_factor,warm_start,path_change_ack,path_factor,converged_ack,converged_rtt,detection_ack,detection_delta_ack,final_x_est_us,final_min_rtt_us,true_min_rtt_us,final_err_pct,acks_total,final_confirm_cnt,final_confirm_slow_cnt
100000,2.0,0.001,True,,1.0,59,499,-1,-1,100246,97267,100000,0.246,10000,0,3
100000,2.0,0.01,True,,1.0,39,499,-1,-1,99411,96286,100000,0.5890000000000001,10000,0,3
100000,2.0,0.1,True,,1.0,20,499,-1,-1,102289,96798,100000,2.289,10000,0,1
100000,2.0,0.25,True,,1.0,12,499,-1,-1,101626,98611,100000,1.6260000000000001,10000,0,0
100000,2.0,0.5,True,,1.0,5,499,-1,-1,100018,94452,100000,0.018000000000000002,10000,0,1
100000,2.0,0.75,True,,1.0,2,499,-1,-1,100790,98676,100000,0.79,10000,0,0
100000,5.0,0.001,True,,1.0,65,499,-1,-1,96843,96617,100000,3.157,10000,0,0
100000,5.0,0.01,True,,1.0,39,499,-1,-1,104988,96273,100000,4.988,10000,0,1
100000,5.0,0.1,True,,1.0,19,499,-1,-1,106104,106104,100000,6.104,10000,0,0
100000,5.0,0.25,True,,1.0,11,499,-1,-1,93490,93486,100000,6.510000000000001,10000,0,4
100000,5.0,0.5,True,,1.0,5,499,-1,-1,101254,99340,100000,1.254,10000,0,0
100000,5.0,0.75,True,,1.0,3,499,-1,-1,101388,92005,100000,1.388,10000,1,1
100000,10.0,0.001,True,,1.0,59,499,-1,-1,99311,99311,100000,0.6890000000000001,10000,0,0
100000,10.0,0.01,True,,1.0,39,499,-1,-1,79460,79460,100000,20.54,10000,0,0
100000,10.0,0.1,True,,1.0,19,499,-1,-1,85165,85165,100000,14.835,10000,0,0
100000,10.0,0.25,True,,1.0,11,499,-1,-1,99657,89136,100000,0.34299999999999997,10000,2,2
100000,10.0,0.5,True,,1.0,5,499,-1,-1,95905,88704,100000,4.095,10000,0,3
100000,10.0,0.75,True,,1.0,4,499,-1,-1,97662,83329,100000,2.338,10000,2,2
100000,20.0,0.001,True,,1.0,59,499,-1,-1,76154,53916,100000,23.846,10000,3,3
100000,20.0,0.01,True,,1.0,56,499,-1,-1,64425,64425,100000,35.575,10000,0,0
100000,20.0,0.1,True,,1.0,20,499,-1,-1,103734,82402,100000,3.734,10000,2,2
100000,20.0,0.25,True,,1.0,27,499,-1,-1,111794,94604,100000,11.794,10000,2,2
100000,20.0,0.5,True,,1.0,14,499,-1,-1,97973,70955,100000,2.027,10000,3,3
100000,20.0,0.75,True,,1.0,18,499,-1,-1,87139,87139,100000,12.861,10000,0,0
500000,0.0,0.001,True,,1.0,59,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.0,0.01,True,,1.0,39,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.0,0.1,True,,1.0,19,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.0,0.25,True,,1.0,11,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.0,0.5,True,,1.0,5,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.0,0.75,True,,1.0,2,499,-1,-1,500000,500000,500000,0.0,10000,0,0
500000,0.5,0.001,True,,1.0,59,499,-1,-1,501590,490684,500000,0.318,10000,0,0
500000,0.5,0.01,True,,1.0,39,499,-1,-1,503139,490744,500000,0.6278,10000,0,0
500000,0.5,0.1,True,,1.0,19,499,-1,-1,499290,489462,500000,0.14200000000000002,10000,0,0
500000,0.5,0.25,True,,1.0,11,499,-1,-1,503163,488718,500000,0.6326,10000,0,0
500000,0.5,0.5,True,,1.0,5,499,-1,-1,494372,490754,500000,1.1256,10000,0,0
500000,0.5,0.75,True,,1.0,2,499,-1,-1,503946,491434,500000,0.7892,10000,0,0
500000,1.0,0.001,True,,1.0,59,499,-1,-1,499288,487603,500000,0.1424,10000,0,0
500000,1.0,0.01,True,,1.0,39,499,-1,-1,500870,487607,500000,0.174,10000,0,0
500000,1.0,0.1,True,,1.0,19,499,-1,-1,502949,484213,500000,0.5898,10000,0,2
500000,1.0,0.25,True,,1.0,11,499,-1,-1,503278,488987,500000,0.6556000000000001,10000,0,1
500000,1.0,0.5,True,,1.0,5,499,-1,-1,495937,487533,500000,0.8126,10000,0,1
500000,1.0,0.75,True,,1.0,2,499,-1,-1,496250,482928,500000,0.75,10000,0,0
500000,2.0,0.001,True,,1.0,59,499,-1,-1,505819,488560,500000,1.1638000000000002,10000,0,1
500000,2.0,0.01,True,,1.0,39,499,-1,-1,497652,484146,500000,0.46959999999999996,10000,0,0
500000,2.0,0.1,True,,1.0,19,499,-1,-1,486506,486157,500000,2.6988000000000003,10000,0,2
500000,2.0,0.25,True,,1.0,11,499,-1,-1,509780,485233,500000,1.9560000000000002,10000,0,1
500000,2.0,0.5,True,,1.0,5,499,-1,-1,510038,481267,500000,2.0076,10000,0,1
